Time (milliseconds),Channel 1 Data (μV),Channel 2 Data (μV),Channel 3 Data (μV),Channel 4 Data (μV),Channel 5 Data (μV),Channel 6 Data (μV),Channel 7 Data (μV),Channel 8 Data (μV),Channel 9 Data (μV),Channel 10 Data (μV),Channel 11 Data (μV),Channel 12 Data (μV),Channel 13 Data (μV),Channel 14 Data (μV),Channel 15 Data (μV),Channel 16 Data (μV),Channel 17 Data (μV),Channel 18 Data (μV),Channel 19 Data (μV),Channel 20 Data (μV),Channel 21 Data (μV),Extra Channel extra_1 Data (μV),Extra Channel extra_2 Data (μV),Extra Channel extra_3 Data (μV)
0.0,354632.6,356795.9,427189.84,10630.488,4530.808,17669.775,3142.032,25153.408,4426.824,12836.664,13295.48,3030.008,8026.064,14919.024,-2393.24,18703.184,11651.568,16120.736,13666.928,28359.225,27042.809,14087.688,46450.832,52586.426
4.0,354647.62,356808.22,427205.94,10553.304,4458.448,17595.271,3031.08,25046.744,4397.344,12745.544,13251.528,2901.904,7908.144,14799.496,-2487.576,18571.863,11600.648,15959.936,13556.512,28223.08,26976.88,13937.072,46331.305,52435.81
8.0,354635.28,356801.25,427194.16,10484.16,4391.984,17507.367,2950.144,24960.984,4319.624,12657.104,13148.616,2813.464,7811.664,14709.448,-2583.52,18482.352,11502.024,15875.248,13451.456,28147.504,26921.137,13849.168,46235.895,52347.902
12.0,354624.03,356792.16,427185.56,10842.208,4740.384,17834.863,3346.248,25289.016,4478.816,12953.512,13361.408,3191.88,8184.184,15108.232,-2223.864,18879.527,11742.688,16301.368,13806.824,28534.496,27247.023,14263.496,46534.45,52720.96
16.0,354622.44,356787.88,427187.2,10365.168,4264.952,17459.664,2855.808,24918.64,4334.096,12635.664,13165.232,2744.856,7765.032,14629.048,-2629.616,18421.783,11510.6,15790.024,13417.152,28066.568,26829.48,13770.376,46235.895,52314.67
20.0,354625.1,356794.28,427196.8,10599.4,4499.72,17644.584,3108.264,25124.465,4413.424,12807.72,13268.144,2988.736,7986.4,14886.864,-2425.936,18666.736,11622.088,16083.752,13620.296,28330.28,27026.729,14047.488,46420.816,52556.406
24.0,354633.16,356803.4,427204.88,10550.624,4447.728,17593.129,3033.224,25037.096,4390.376,12739.112,13231.696,2896.008,7902.784,14797.352,-2497.224,18569.184,11582.424,15964.224,13545.256,28226.297,26989.207,13932.784,46324.336,52433.664
28.0,354635.28,356801.8,427204.88,10480.944,4393.592,17508.977,2952.288,24957.768,4319.088,12651.208,13140.04,2804.888,7802.016,14711.056,-2585.664,18470.023,11499.344,15871.496,13446.096,28143.752,26915.24,13844.344,46235.895,52340.4
32.0,354631.53,356795.38,427198.97,10844.352,4753.784,17843.977,3354.288,25293.84,4483.64,12953.512,13366.232,3184.912,8179.36,15118.416,-2215.824,18871.488,11749.656,16300.296,13814.328,28535.568,27241.664,14267.248,46544.098,52722.566
36.0,354625.1,356792.7,427198.97,10364.632,4270.848,17464.488,2858.488,24920.783,4340.528,12635.128,13170.056,2738.424,7765.032,14632.8,-2625.864,18414.28,11516.496,15788.416,13425.728,28064.424,26823.584,13771.984,46241.258,52314.67
