Time (milliseconds),Channel 1 Data (μV),Channel 2 Data (μV),Channel 3 Data (μV),Channel 4 Data (μV),Channel 5 Data (μV),Channel 6 Data (μV),Channel 7 Data (μV),Channel 8 Data (μV),Channel 9 Data (μV),Channel 10 Data (μV),Channel 11 Data (μV),Channel 12 Data (μV),Channel 13 Data (μV),Channel 14 Data (μV),Channel 15 Data (μV),Channel 16 Data (μV),Channel 17 Data (μV),Channel 18 Data (μV),Channel 19 Data (μV),Channel 20 Data (μV),Channel 21 Data (μV),Extra Channel extra_1 Data (μV),Extra Channel extra_2 Data (μV),Extra Channel extra_3 Data (μV)
0.0,342876.53,349169.7,404622.66,15055.704,19423.568,23266.152,4350.712,24100.168,25700.664,22157.168,14480.04,13744.648,24421.232,23816.088,18156.465,28625.615,27583.633,21861.832,16898.473,32381.904,29093.008,16742.496,54966.8,60075.414
4.0,342878.66,349167.56,404624.25,15302.8,19664.232,23521.287,4623.536,24360.664,25853.424,22392.473,14674.608,14018.544,24703.168,24105.527,18425.0,28916.129,27842.52,22157.703,17173.44,32656.871,29322.416,17038.367,55189.777,60335.91
8.0,342865.25,349157.9,404615.16,14808.608,19162.535,23098.92,4147.568,23961.344,25657.783,22055.863,14444.128,13620.296,24299.023,23626.344,18019.783,28456.24,27481.256,21696.207,16776.8,32194.84,28893.615,16578.48,54899.8,59957.496
12.0,342871.7,349169.16,404625.88,15218.648,19570.432,23446.248,4552.784,24305.992,25818.049,22352.809,14639.768,13982.096,24664.576,24040.137,18360.145,28870.568,27792.137,22119.648,17128.951,32610.24,29236.656,16996.56,55181.2,60316.08
16.0,342885.1,349180.4,404641.4,14958.688,19322.264,23201.297,4263.88,24041.207,25705.488,22128.76,14500.408,13700.16,24368.703,23734.615,18105.545,28542.535,27549.863,21777.145,16849.695,32285.424,29019.04,16665.312,54944.29,60019.137
20.0,342884.56,349177.2,404640.88,15015.504,19389.8,23228.096,4311.584,24069.615,25681.367,22135.729,14462.888,13730.176,24398.184,23781.248,18120.016,28589.703,27556.297,21832.889,16866.312,32341.703,29052.809,16718.377,54940.535,60047.543
24.0,342878.12,349171.3,404636.06,15278.144,19639.576,23491.809,4598.344,24335.473,25837.344,22379.072,14655.848,14005.68,24687.088,24080.336,18398.736,28893.615,27820.008,22140.016,17151.465,32634.896,29296.688,17022.824,55168.336,60323.586
28.0,342867.94,349163.25,404630.7,14800.568,19158.248,23086.592,4139.528,23958.129,25650.816,22051.576,14437.696,13615.472,24292.592,23620.447,18012.28,28450.344,27472.68,21692.455,16770.367,32191.623,28884.504,16579.016,54892.297,59959.105
32.0,342880.8,349174.53,404647.3,15264.208,19618.672,23487.52,4598.88,24355.305,25840.023,22389.793,14667.104,14022.832,24710.137,24087.305,18400.344,28920.416,27831.8,22164.672,17168.08,32663.305,29277.928,17048.016,55212.824,60360.03
36.0,342893.7,349187.38,404659.62,15021.4,19386.584,23261.328,4329.272,24101.24,25748.367,22181.287,14548.112,13749.472,24428.736,23797.863,18173.615,28603.104,27610.969,21828.6,16907.049,32352.96,29076.393,16725.88,54995.742,60077.023
40.0,342889.9,349185.25,404659.1,15048.736,19427.32,23261.328,4343.744,24103.385,25716.207,22161.455,14493.976,13744.648,24422.305,23813.408,18165.576,28615.969,27590.6,21846.824,16896.863,32376.008,29082.824,16743.568,54975.375,60078.098
44.0,342877.06,349173.44,404646.78,15292.616,19654.584,23505.744,4615.496,24347.264,25856.64,22386.576,14666.568,14003.536,24696.736,24091.592,18417.496,28901.12,27832.336,22138.943,17162.184,32650.44,29322.416,17026.04,55186.023,60332.695
48.0,342878.66,349171.84,404649.44,14795.208,19161.465,23084.984,4135.24,23951.695,25656.176,22035.496,14436.624,13583.312,24277.049,23615.088,18011.744,28429.977,27472.145,21659.225,16760.184,32179.297,28879.145,16556.504,54892.297,59943.56
52.0,342889.38,349184.16,404663.9,15205.248,19569.896,23435.527,4541.528,24295.809,25814.832,22323.863,14627.976,13936.536,24640.455,24028.344,18355.855,28838.943,27785.168,22076.768,17110.729,32598.984,29221.111,16969.225,55166.727,60294.64
56.0,342888.84,349186.84,404665.53,14972.088,19332.984,23207.729,4280.496,24035.848,25707.096,22109.465,14488.616,13665.32,24359.592,23734.615,18120.016,28532.889,27552.008,21751.416,16847.016,32298.824,29035.656,16652.447,54943.754,60017.527
60.0,342893.12,349190.06,404671.44,15042.304,19420.889,23246.32,4336.24,24073.904,25689.408,22114.287,14462.888,13688.368,24380.496,23795.72,18148.96,28585.951,27573.447,21799.656,16868.455,32358.855,29070.496,16706.584,54952.33,60050.223
64.0,342885.62,349182.56,404667.12,15332.816,19697.465,23536.297,4650.872,24367.633,25862.535,22380.145,14670.32,13989.064,24694.057,24124.287,18451.264,28923.096,27857.527,22135.729,17177.729,32679.385,29349.217,17035.688,55200.496,60351.457
68.0,342874.38,349173.44,404657.5,14838.088,19196.305,23119.824,4174.368,23972.6,25671.184,22045.145,14445.2,13590.816,24293.664,23649.393,18049.8,28469.104,27497.336,21672.088,16788.057,32215.744,28924.168,16571.512,54914.81,59970.895
72.0,342882.4,349182.03,404670.34,15249.736,19607.951,23469.832,4583.336,24318.855,25838.416,22343.695,14647.272,13960.12,24669.936,24063.184,18396.057,28880.217,27818.936,22104.64,17149.32,32635.969,29267.744,16987.984,55202.64,60332.695
76.0,342892.6,349191.7,404682.16,15008.536,19378.008,23240.424,4313.728,24064.256,25739.256,22135.191,14522.384,13699.088,24393.896,23772.137,18162.896,28565.584,27594.889,21785.72,16893.648,32329.377,29067.28,16670.137,54981.81,60052.367
80.0,342891.0,349192.22,404682.7,15053.024,19431.607,23254.896,4343.744,24081.408,25710.312,22131.977,14477.896,13716.776,24405.688,23806.977,18165.576,28602.568,27585.24,21827.527,16894.72,32366.896,29091.936,16704.977,54970.55,60071.664
84.0,342878.66,349181.5,404672.5,15330.672,19693.176,23532.545,4647.12,24362.271,25869.504,22394.615,14676.216,14018.008,24715.496,24125.36,18453.943,28929.527,27858.064,22168.424,17194.344,32675.096,29355.111,17030.328,55210.145,60367.535
