Time (milliseconds),Channel 1 Data (μV),Channel 2 Data (μV),Channel 3 Data (μV),Channel 4 Data (μV),Channel 5 Data (μV),Channel 6 Data (μV),Channel 7 Data (μV),Channel 8 Data (μV),Channel 9 Data (μV),Channel 10 Data (μV),Channel 11 Data (μV),Channel 12 Data (μV),Channel 13 Data (μV),Channel 14 Data (μV),Channel 15 Data (μV),Channel 16 Data (μV),Channel 17 Data (μV),Channel 18 Data (μV),Channel 19 Data (μV),Channel 20 Data (μV),Channel 21 Data (μV),Extra Channel extra_1 Data (μV),Extra Channel extra_2 Data (μV),Extra Channel extra_3 Data (μV)
0.0,91140.37,148464.5,407700.38,9497.92,3597.632,14010.504,773.984,23757.664,3281.928,10388.752,13333.536,-377.344,5829.536,11944.224,-892.976,16733.385,6487.208,14310.664,12141.472,24231.488,24721.393,12234.736,39964.16,47183.543
4.0,91126.43,148456.45,407689.62,10124.504,4219.392,14529.352,1442.376,24309.744,3477.032,10849.712,13619.224,240.128,6421.816,12624.408,-304.448,17385.695,6846.864,15043.376,12669.968,24898.809,25244.527,12948.688,40466.93,47827.28
8.0,91117.32,148444.12,407681.06,9702.136,3773.976,14224.368,1016.256,23974.207,3384.304,10591.896,13486.296,-122.744,6095.928,12194.536,-659.28,16998.168,6673.736,14587.776,12387.496,24475.367,24917.568,12511.848,40187.137,47447.793
12.0,91122.68,148452.7,407694.47,9629.24,3714.48,14140.216,942.288,23937.225,3344.64,10542.048,13431.624,-182.776,6023.032,12132.896,-729.496,16939.207,6596.016,14546.504,12315.136,24444.816,24828.592,12466.288,40161.945,47418.848
16.0,91127.51,148460.75,407707.3,9992.112,4067.704,14443.592,1318.024,24213.264,3479.712,10791.824,13618.688,139.36,6343.024,12494.696,-403.072,17286.0,6817.384,14914.736,12608.864,24778.744,25148.049,12824.336,40406.895,47725.977
20.0,91127.51,148459.14,407700.38,9510.784,3600.848,14012.648,783.096,23760.344,3280.856,10398.936,13335.144,-362.336,5847.224,11953.336,-887.616,16752.145,6495.248,14327.816,12158.088,24243.28,24736.936,12250.816,39973.81,47203.375
24.0,91125.36,148455.39,407696.6,10157.736,4248.872,14551.328,1473.464,24336.008,3488.824,10874.904,13639.056,270.144,6456.656,12660.856,-271.752,17427.504,6873.128,15081.968,12701.056,24928.824,25272.936,12981.384,40493.19,47861.047
28.0,91121.61,148450.03,407697.16,9802.904,3877.424,14312.808,1118.096,24072.297,3434.152,10677.656,13554.904,-16.616,6195.624,12306.024,-555.832,17108.049,6752.528,14703.016,12482.368,24575.064,25006.008,12620.656,40271.29,47548.56
32.0,91137.69,148460.75,407711.62,9673.728,3768.616,14186.848,981.952,23991.896,3384.84,10590.288,13487.904,-130.784,6069.128,12187.568,-680.72,16975.12,6657.12,14590.456,12367.664,24481.8,24859.145,12510.776,40201.07,47463.336
36.0,91136.62,148466.64,407716.97,10037.672,4117.552,14485.936,1357.688,24264.184,3515.624,10836.312,13666.928,188.672,6385.368,12549.368,-362.872,17320.84,6867.768,14962.976,12656.568,24819.48,25178.064,12866.144,40448.168,47766.176
40.0,91138.23,148467.72,407721.25,9516.68,3612.104,14023.368,785.776,23775.889,3306.584,10416.624,13361.408,-351.08,5852.048,11961.912,-884.4,16752.145,6509.184,14338.536,12171.488,24247.568,24738.545,12252.96,39982.383,47204.45
44.0,91136.08,148464.5,407719.12,10104.672,4205.456,14508.448,1422.008,24297.951,3488.824,10842.208,13626.728,222.976,6397.696,12606.72,-323.744,17364.256,6836.144,15025.152,12660.856,24877.904,25222.016,12922.424,40449.777,47805.305
48.0,91121.61,148452.17,407709.47,9718.216,3793.808,14230.264,1033.944,23990.287,3405.208,10605.296,13505.056,-108.272,6103.432,12215.976,-642.664,17012.64,6673.736,14606.0,12403.576,24489.305,24929.896,12524.176,40193.566,47456.902
52.0,91124.29,148458.06,407717.5,9627.096,3708.584,14128.424,934.248,23931.863,3348.928,10537.76,13433.768,-188.136,6013.92,12132.36,-738.608,16928.488,6594.408,14543.288,12313.528,24431.416,24824.305,12452.888,40154.44,47408.664
56.0,91132.33,148468.78,407729.3,10023.2,4098.256,14460.208,1342.144,24240.064,3489.36,10810.048,13635.304,162.944,6358.568,12533.288,-377.88,17305.297,6836.144,14942.608,12636.2,24798.04,25166.271,12844.704,40429.406,47750.633
60.0,91137.15,148469.86,407732.53,9496.848,3592.272,13995.496,761.656,23750.695,3279.248,10385.0,13333.536,-384.848,5820.424,11942.616,-895.656,16727.488,6478.632,14295.656,12145.224,24220.768,24715.496,12222.408,39962.016,47183.008
64.0,91140.37,148469.31,407735.75,10084.84,4188.84,14481.648,1394.136,24279.729,3459.88,10815.408,13602.072,191.888,6369.288,12592.784,-342.504,17337.455,6807.2,14989.24,12632.984,24851.64,25195.217,12896.16,40427.266,47782.258
68.0,91126.97,148460.2,407724.47,9736.976,3811.496,14240.984,1043.056,24009.049,3388.056,10614.944,13500.768,-90.584,6115.76,12239.024,-634.624,17032.473,6675.88,14626.904,12413.224,24503.775,24939.008,12541.864,40204.824,47477.273
72.0,91135.55,148468.25,407736.8,9623.344,3706.976,14124.136,920.848,23934.545,3331.24,10532.936,13427.336,-188.136,6006.416,12133.968,-745.576,16925.809,6585.296,14532.032,12306.024,24426.057,24816.264,12449.672,40152.832,47411.88
76.0,91141.98,148476.28,407751.8,10033.92,4103.616,14466.64,1345.896,24254.535,3481.856,10820.232,13636.376,182.776,6374.648,12545.08,-375.736,17319.768,6835.072,14957.616,12643.168,24811.44,25172.703,12860.248,40434.23,47763.496
80.0,91145.73,148478.44,407753.44,9501.136,3593.88,14001.928,761.656,23763.023,3271.744,10396.256,13336.216,-362.872,5837.576,11950.12,-905.304,16736.064,6480.24,14315.488,12154.336,24227.736,24721.393,12234.2,39963.09,47189.44
84.0,91135.01,148470.39,407740.03,10104.136,4199.024,14497.728,1410.216,24294.2,3458.272,10836.848,13607.968,225.656,6399.304,12609.936,-331.784,17364.256,6822.208,15021.936,12655.496,24873.08,25220.408,12917.064,40438.52,47801.55
88.0,91128.58,148460.75,407735.75,9747.16,3817.928,14249.56,1055.384,24016.016,3392.88,10626.736,13512.024,-73.432,6133.448,12251.352,-621.224,17042.12,6689.816,14639.768,12431.984,24513.424,24949.191,12552.048,40210.184,47484.777
92.0,91133.94,148470.92,407750.22,9591.184,3669.992,14094.656,890.832,23900.775,3321.056,10513.64,13412.328,-214.4,5983.368,12094.304,-771.304,16894.72,6565.464,14506.304,12286.192,24394.969,24792.68,12415.368,40124.96,47379.72
96.0,91148.41,148483.25,407767.9,10006.584,4084.32,14437.696,1320.168,24230.951,3471.136,10797.184,13626.728,153.296,6346.776,12517.744,-391.816,17287.607,6817.92,14932.424,12623.872,24784.64,25141.615,12833.984,40413.863,47737.77
100.0,91141.44,148480.58,407758.78,9481.304,3566.544,13972.448,738.608,23734.615,3261.024,10376.424,13322.816,-388.6,5822.568,11923.856,-922.456,16713.016,6460.944,14294.048,12141.472,24206.297,24703.703,12213.296,39940.574,47168.535
104.0,91136.62,148475.75,407754.5,10066.08,4153.464,14453.24,1367.336,24252.928,3436.296,10802.544,13580.096,187.6,6369.824,12564.376,-370.376,17323.52,6783.616,14983.88,12626.552,24831.809,25185.568,12881.688,40403.68,47765.105
108.0,91129.11,148464.5,407748.6,9748.232,3816.32,14243.128,1057.528,24014.943,3383.768,10627.808,13506.128,-64.856,6145.24,12253.496,-622.296,17049.088,6676.416,14654.776,12438.416,24517.713,24948.12,12564.376,40208.574,47491.207
112.0,91132.87,148470.92,407760.94,9594.936,3673.208,14094.656,891.904,23905.6,3318.376,10517.928,13413.936,-198.32,5995.16,12103.952,-773.984,16899.545,6555.816,14510.056,12296.376,24397.648,24794.287,12425.016,40123.887,47384.543
116.0,91143.586,148484.33,407777.0,10056.968,4129.344,14479.504,1371.088,24274.367,3487.216,10840.064,13648.704,217.616,6403.056,12573.488,-349.472,17339.064,6838.824,14985.488,12670.504,24834.488,25188.248,12892.408,40451.92,47790.832
120.0,91140.91,148483.8,407773.25,9518.288,3599.776,14006.216,777.736,23766.24,3279.784,10408.048,13344.256,-349.472,5855.264,11960.304,-889.224,16747.855,6487.744,14325.136,12174.168,24236.848,24738.545,12247.064,39968.984,47204.45
124.0,91144.66,148484.86,407777.53,10111.104,4204.92,14493.976,1411.288,24293.664,3459.344,10837.384,13609.576,221.904,6398.768,12611.008,-325.352,17363.184,6824.352,15016.576,12661.928,24870.936,25223.088,12919.208,40442.273,47807.45
128.0,91126.97,148469.86,407768.44,9814.16,3874.744,14299.408,1121.848,24066.4,3412.176,10680.336,13539.896,-6.432,6198.84,12313.528,-557.976,17114.48,6726.264,14712.128,12486.12,24578.816,25020.48,12620.656,40261.64,47552.848
132.0,91127.51,148470.92,407770.03,9601.368,3673.208,14102.696,895.12,23907.744,3328.56,10528.648,13420.368,-197.784,5999.984,12099.664,-761.656,16904.904,6571.896,14506.304,12298.52,24401.936,24808.225,12419.656,40128.176,47385.617
136.0,91151.086,148490.22,407794.7,10029.096,4110.584,14463.424,1342.144,24255.607,3484.536,10821.84,13645.488,184.384,6371.432,12548.296,-371.984,17308.512,6832.392,14951.184,12645.848,24808.225,25160.377,12860.248,40433.695,47761.887
140.0,91147.336,148488.08,407790.94,9488.808,3578.872,13986.92,748.256,23748.016,3269.064,10385.0,13335.144,-374.664,5826.856,11937.792,-915.488,16717.305,6468.984,14295.656,12153.264,24211.656,24711.744,12219.728,39951.297,47175.504
144.0,91140.37,148482.72,407781.28,10059.648,4154.536,14448.952,1355.008,24247.031,3434.152,10794.504,13582.776,179.024,6355.352,12557.408,-376.808,17307.44,6778.256,14969.944,12621.192,24823.232,25174.848,12869.36,40401.535,47755.992
148.0,91128.58,148470.92,407769.5,9769.136,3840.976,14260.816,1076.824,24029.416,3387.52,10639.6,13516.312,-45.024,6160.784,12270.112,-601.928,17063.023,6690.888,14673.536,12455.568,24539.688,24964.736,12585.28,40223.047,47510.504
152.0,91132.33,148477.89,407780.75,9575.104,3652.304,14082.328,873.144,23892.736,3307.656,10510.96,13405.896,-205.824,5984.44,12079.296,-793.816,16887.217,6546.704,14502.552,12284.584,24384.783,24778.744,12410.008,40102.45,47366.855
156.0,91148.41,148491.3,407798.44,10065.544,4142.744,14490.224,1381.808,24289.377,3485.608,10854.536,13657.816,235.304,6416.456,12586.888,-340.896,17357.287,6838.288,15014.968,12684.976,24852.713,25192.535,12906.344,40450.312,47802.09
160.0,91146.266,148488.61,407798.97,9529.544,3617.464,14015.328,787.384,23775.889,3280.856,10419.84,13358.192,-329.104,5869.736,11968.344,-872.608,16752.145,6487.744,14336.928,12192.392,24246.496,24740.688,12255.64,39971.13,47214.098
164.0,91139.83,148484.33,407794.7,10075.192,4170.08,14455.384,1371.088,24256.145,3438.976,10808.976,13591.352,197.248,6368.216,12560.088,-359.656,17312.264,6790.048,14966.728,12632.448,24829.129,25185.568,12870.432,40405.29,47766.176
168.0,91127.51,148474.14,407786.12,9792.184,3860.808,14271.0,1089.688,24042.28,3391.272,10652.464,13524.888,-23.584,6174.184,12282.44,-579.416,17073.207,6700.536,14679.432,12466.288,24549.336,24981.889,12589.568,40237.52,47520.688
172.0,91135.01,148478.97,407797.9,9561.168,3637.832,14057.672,845.272,23867.008,3295.864,10489.52,13392.496,-228.872,5959.784,12048.208,-799.712,16849.16,6533.84,14462.888,12261.536,24351.016,24762.129,12368.2,40093.336,47336.84
176.0,91142.516,148490.77,407810.78,10047.856,4119.696,14462.888,1356.616,24254.535,3466.848,10828.808,13636.912,214.4,6395.552,12549.368,-356.44,17319.768,6823.816,14976.912,12663.0,24826.447,25179.137,12872.04,40444.953,47776.895
180.0,91147.336,148491.3,407811.84,9514.0,3602.992,13998.176,769.696,23754.984,3263.168,10400.544,13344.792,-352.152,5853.656,11947.44,-884.4,16731.775,6478.632,14320.848,12181.136,24232.023,24727.824,12235.808,39971.13,47196.406
184.0,91139.3,148484.86,407800.06,10066.616,4158.288,14445.736,1360.368,24239.527,3426.648,10795.576,13582.776,175.808,6360.176,12548.296,-365.552,17304.225,6779.328,14962.976,12631.912,24821.088,25179.137,12861.32,40406.895,47755.992
188.0,91132.33,148476.28,407794.7,9821.664,3889.752,14294.584,1124.528,24061.576,3403.064,10669.616,13542.576,-11.256,6198.304,12308.704,-550.472,17100.545,6711.792,14713.736,12498.984,24578.816,25004.936,12619.048,40263.246,47544.273
192.0,91146.8,148487.55,407818.28,9589.04,3672.672,14087.688,880.648,23894.88,3319.448,10508.28,13423.584,-218.688,5981.76,12082.512,-768.624,16874.889,6558.496,14489.688,12295.304,24381.568,24782.496,12397.68,40123.35,47366.32
196.0,91153.234,148498.27,407830.6,10088.592,4161.504,14501.48,1397.888,24295.809,3496.864,10857.216,13672.824,241.2,6427.712,12590.64,-311.952,17358.36,6860.264,15014.432,12699.984,24865.576,25208.615,12908.488,40484.617,47817.098
200.0,91155.375,148500.94,407832.75,9519.36,3606.208,14006.216,768.088,23767.848,3279.248,10406.976,13360.336,-345.184,5856.872,11953.336,-876.896,16738.207,6488.816,14322.456,12185.424,24234.168,24732.648,12235.272,39978.633,47199.09
204.0,91147.875,148495.58,407824.2,10033.384,4128.808,14417.328,1318.024,24218.623,3422.36,10771.456,13571.52,147.936,6328.016,12517.744,-400.392,17269.92,6754.136,14925.456,12599.216,24791.072,25149.656,12825.408,40379.56,47724.902
208.0,91135.01,148484.33,407813.47,9819.52,3886.536,14288.152,1119.704,24059.969,3400.92,10665.328,13536.68,-12.328,6195.624,12313.528,-554.224,17096.793,6702.68,14704.624,12488.8,24579.889,25004.936,12619.584,40256.28,47546.414
212.0,91133.4,148485.4,407818.28,9573.496,3643.728,14064.64,858.136,23868.08,3301.224,10490.056,13396.248,-232.624,5964.608,12063.216,-786.312,16852.377,6535.984,14465.568,12271.184,24366.023,24777.137,12376.776,40101.375,47349.703
216.0,91145.73,148497.73,407835.97,10056.968,4126.664,14468.248,1363.584,24263.648,3472.744,10828.808,13642.808,210.112,6396.088,12564.376,-344.648,17322.447,6827.032,14972.088,12666.216,24836.096,25184.496,12879.008,40451.383,47781.72
220.0,91145.73,148497.19,407833.28,9522.04,3603.528,14003.0,779.344,23761.416,3269.6,10403.76,13348.008,-342.504,5862.768,11954.408,-883.864,16736.6,6481.312,14318.704,12184.888,24242.744,24738.545,12245.456,39974.88,47199.09
224.0,91142.516,148493.97,407832.22,10052.144,4143.28,14431.264,1344.288,24231.488,3423.432,10784.856,13572.592,169.912,6346.24,12533.288,-388.064,17283.855,6765.392,14946.896,12614.76,24813.584,25168.416,12845.776,40395.105,47739.375
228.0,91136.08,148487.02,407827.94,9857.04,3928.344,14325.136,1157.76,24102.848,3413.784,10700.704,13560.8,33.768,6234.216,12352.656,-517.776,17135.92,6735.376,14756.616,12525.248,24622.768,25032.809,12662.464,40295.406,47583.938
232.0,91140.91,148491.3,407836.5,9573.496,3650.16,14072.144,859.208,23885.768,3309.264,10506.136,13412.328,-217.616,5974.792,12065.896,-780.416,16862.023,6546.704,14477.896,12285.656,24372.455,24772.848,12384.28,40111.56,47353.992
236.0,91142.516,148498.27,407842.94,10095.024,4155.608,14499.336,1399.496,24301.168,3494.184,10872.224,13668.536,260.496,6444.328,12600.824,-311.416,17374.977,6851.152,15035.336,12713.92,24878.977,25215.584,12923.496,40487.297,47826.742
240.0,91140.91,148498.27,407840.25,9547.768,3618.536,14026.048,797.568,23784.465,3289.968,10436.992,13369.448,-303.376,5899.752,11979.6,-855.992,16776.264,6500.608,14364.264,12222.408,24269.008,24765.344,12271.184,40002.215,47232.855
244.0,91153.766,148504.16,407850.44,10061.256,4155.608,14442.52,1344.824,24249.176,3440.584,10801.472,13595.104,187.064,6359.104,12548.296,-369.304,17295.111,6783.616,14957.616,12632.984,24818.408,25164.664,12852.208,40405.824,47753.848
