Time (milliseconds),Channel 1 Data (μV),Channel 2 Data (μV),Channel 3 Data (μV),Channel 4 Data (μV),Channel 5 Data (μV),Channel 6 Data (μV),Channel 7 Data (μV),Channel 8 Data (μV),Channel 9 Data (μV),Channel 10 Data (μV),Channel 11 Data (μV),Channel 12 Data (μV),Channel 13 Data (μV),Channel 14 Data (μV),Channel 15 Data (μV),Channel 16 Data (μV),Channel 17 Data (μV),Channel 18 Data (μV),Channel 19 Data (μV),Channel 20 Data (μV),Channel 21 Data (μV),Extra Channel extra_1 Data (μV),Extra Channel extra_2 Data (μV),Extra Channel extra_3 Data (μV)
0.0,1891597.1,1971192.5,2162704.2,14425.368,8456.472,15938.496,4562.968,27081.936,6613.704,12806.648,19603.664,1535.64,10016.768,12234.736,3618.0,23090.344,10460.576,19584.904,14405.0,23030.312,25391.928,16524.344,35115.504,44813.887
4.0,1891598.6,1971197.9,2162707.0,14418.936,8451.648,15950.824,4571.544,27100.695,6626.568,12825.944,19615.455,1554.936,10039.816,12252.96,3633.544,23116.607,10472.368,19606.344,14426.976,23046.928,25396.752,16543.104,35142.305,44841.223
8.0,1891598.1,1971199.5,2162685.0,14393.208,8418.416,15951.896,4566.72,27119.992,6640.504,12846.848,19632.072,1586.024,10070.904,12263.144,3644.264,23139.656,10482.552,19637.969,14452.168,23058.72,25377.992,16559.184,35183.04,44879.28
12.0,1891608.4,1971209.1,2162692.5,14300.48,8316.576,15890.256,4488.464,27062.104,6620.136,12800.216,19624.568,1517.952,10015.696,12172.56,3566.008,23068.904,10460.576,19565.072,14402.856,22983.145,25302.416,16490.576,35117.65,44813.887
16.0,1891623.9,1971225.2,2162738.0,14340.144,8365.888,15887.04,4485.784,27040.664,6611.56,12775.56,19605.809,1484.184,9976.568,12166.664,3548.32,23038.889,10435.92,19525.943,14370.16,22968.672,25325.465,16455.736,35076.375,44763.504
20.0,1891624.4,1971226.9,2162741.2,14430.192,8465.048,15945.464,4561.896,27091.049,6628.712,12816.296,19612.775,1551.184,10028.024,12253.496,3621.216,23104.28,10456.824,19598.305,14409.288,23034.6,25395.145,16521.129,35128.367,44819.246
24.0,1891627.6,1971232.2,2162746.0,14423.76,8457.544,15959.936,4576.904,27108.736,6639.968,12836.128,19624.568,1575.84,10053.752,12273.328,3636.76,23130.008,10472.904,19626.176,14428.048,23051.217,25399.432,16542.568,35153.023,44850.336
28.0,1891634.0,1971236.5,2162722.0,14398.568,8421.632,15962.08,4576.368,27122.672,6649.08,12852.208,19646.008,1599.96,10081.088,12274.936,3644.264,23153.057,10494.344,19649.225,14452.168,23065.688,25383.352,16565.615,35182.504,44886.785
32.0,1891640.0,1971245.0,2162725.8,14302.088,8317.112,15900.44,4493.288,27067.465,6631.392,12805.576,19635.287,1532.96,10022.128,12179.528,3561.72,23087.664,10465.4,19571.504,14403.392,22991.184,25309.385,16492.184,35119.258,44817.105
36.0,1891652.2,1971259.5,2162778.2,14337.464,8362.672,15891.864,4486.856,27041.736,6619.6,12774.488,19614.92,1493.296,9978.712,12165.056,3541.888,23048.535,10441.816,19525.943,14366.944,22971.889,25327.072,16457.344,35069.406,44761.895
40.0,1891654.4,1971263.9,2162781.5,14423.224,8460.224,15946.536,4563.504,27084.615,6632.464,12807.72,19621.889,1553.864,10024.808,12241.168,3611.568,23104.28,10464.864,19591.336,14405.536,23035.672,25393.535,16518.984,35116.574,44817.64
44.0,1891654.4,1971263.9,2162783.0,14417.328,8452.184,15956.72,4572.616,27103.377,6643.184,12828.624,19629.928,1581.736,10054.288,12258.32,3631.936,23128.936,10473.976,19619.207,14426.44,23050.68,25396.217,16539.889,35150.344,44844.977
48.0,1891663.5,1971271.9,2162781.0,14392.672,8417.344,15958.864,4572.616,27122.137,6651.224,12848.456,19651.904,1612.288,10086.984,12262.608,3647.48,23151.984,10498.632,19651.367,14454.312,23066.76,25381.207,16572.584,35185.184,44879.816
52.0,1891674.2,1971281.5,2162794.8,14296.728,8313.896,15896.688,4491.68,27067.465,6631.928,12803.432,19646.008,1548.504,10034.456,12167.2,3562.256,23088.736,10474.512,19579.008,14410.36,22994.936,25306.703,16506.656,35116.04,44816.03
56.0,1891685.5,1971294.9,2162823.2,14330.496,8357.848,15885.968,4483.104,27044.951,6627.64,12778.24,19622.424,1510.448,9993.184,12158.624,3536.528,23055.504,10435.384,19538.809,14371.232,22975.104,25321.176,16458.951,35072.625,44763.504
60.0,1891694.6,1971304.0,2162834.0,14417.328,8451.648,15940.104,4555.464,27091.049,6642.648,12814.152,19625.64,1572.624,10040.888,12239.56,3608.888,23111.783,10456.824,19608.488,14404.464,23039.424,25385.496,16522.2,35123.543,44816.566
64.0,1891700.0,1971310.5,2162842.0,14407.68,8441.464,15952.968,4563.504,27107.129,6643.184,12828.088,19636.36,1599.424,10062.328,12246.528,3628.184,23132.688,10486.304,19637.432,14425.368,23050.68,25386.568,16548.465,35148.734,44846.586
68.0,1891692.5,1971305.6,2162814.2,14384.096,8410.376,15954.04,4561.896,27128.568,6652.832,12851.672,19652.44,1625.688,10089.664,12258.856,3642.656,23160.56,10500.24,19667.984,14446.808,23063.008,25371.023,16568.297,35187.863,44880.887
72.0,1891702.6,1971316.9,2162817.2,14286.008,8306.928,15888.648,4477.744,27079.256,6646.936,12813.616,19636.896,1561.368,10036.064,12187.568,3564.936,23103.207,10450.928,19595.088,14398.568,22988.504,25294.377,16482.0,35139.09,44811.742
76.0,1891718.8,1971330.9,2162862.5,14318.704,8347.664,15881.68,4471.848,27048.703,6625.496,12775.56,19620.816,1510.448,9986.752,12162.376,3540.816,23063.008,10439.136,19544.703,14364.264,22969.207,25311.527,16450.377,35081.734,44758.145
80.0,1891722.5,1971335.1,2162868.8,14411.968,8449.504,15940.64,4550.104,27092.12,6633.536,12808.256,19628.855,1570.48,10037.672,12237.952,3611.032,23117.145,10470.76,19606.88,14403.928,23034.6,25382.28,16521.664,35129.977,44819.246
84.0,1891726.8,1971342.1,2162876.2,14407.144,8442.536,15954.576,4560.824,27109.809,6645.328,12828.624,19640.111,1599.424,10067.688,12259.928,3628.184,23142.871,10479.336,19636.896,14422.688,23050.145,25386.568,16541.496,35162.137,44849.266
88.0,1891735.4,1971349.0,2162861.2,14385.168,8411.448,15963.688,4564.576,27131.783,6654.976,12851.136,19660.48,1632.12,10098.776,12267.432,3641.048,23172.889,10499.168,19672.809,14446.808,23067.297,25379.064,16571.512,35197.51,44887.855
92.0,1891737.5,1971353.9,2162858.0,14292.976,8315.504,15904.728,4486.856,27085.688,6652.296,12817.368,19644.936,1572.624,10048.928,12200.432,3570.296,23123.04,10449.856,19603.664,14398.568,23002.44,25307.775,16486.824,35155.168,44827.29
96.0,1891754.6,1971371.0,2162908.5,14326.208,8356.776,15896.688,4482.568,27054.064,6636.216,12779.848,19625.104,1523.848,10002.296,12177.384,3549.928,23079.088,10435.92,19554.889,14362.12,22978.855,25325.465,16451.447,35099.96,44773.688
