Time (milliseconds),Channel 1 Data (μV),Channel 2 Data (μV),Channel 3 Data (μV),Channel 4 Data (μV),Channel 5 Data (μV),Channel 6 Data (μV),Channel 7 Data (μV),Channel 8 Data (μV),Channel 9 Data (μV),Channel 10 Data (μV),Channel 11 Data (μV),Channel 12 Data (μV),Channel 13 Data (μV),Channel 14 Data (μV),Channel 15 Data (μV),Channel 16 Data (μV),Channel 17 Data (μV),Channel 18 Data (μV),Channel 19 Data (μV),Channel 20 Data (μV),Channel 21 Data (μV),Extra Channel extra_1 Data (μV),Extra Channel extra_2 Data (μV),Extra Channel extra_3 Data (μV)
0.0,917997.0,925614.1,1838318.1,18887.568,9510.248,19020.496,5962.464,25880.225,11422.696,3485.608,9696.24,7208.664,21701.568,836.696,2711.088,9834.528,1690.008,22375.855,-16287.432,9923.504,25515.744,19656.191,29244.695,39229.305
4.0,918008.25,925625.4,1838325.6,18987.8,9620.664,19049.977,6012.848,25894.695,11422.16,3490.968,9691.416,7219.384,21706.928,887.616,2758.256,9844.712,1685.72,22399.44,-16284.216,9959.952,25564.52,19678.703,29271.496,39247.527
8.0,918015.25,925622.1,1838337.4,19052.656,9686.056,19094.465,6077.168,25928.465,11424.304,3519.376,9698.384,7262.8,21742.84,946.576,2822.04,9890.808,1721.632,22461.615,-16269.208,10014.624,25610.615,19746.775,29325.633,39312.383
12.0,918006.7,925617.9,1838339.6,19045.152,9674.264,19106.256,6085.208,25949.904,11436.096,3540.28,9703.744,7282.632,21764.28,974.984,2837.048,9918.144,1725.384,22484.664,-16264.384,10031.776,25612.225,19760.176,29353.504,39334.36
16.0,917998.06,925614.1,1838334.8,18987.264,9608.336,19089.104,6057.872,25952.049,11446.816,3546.176,9709.104,7284.776,21768.568,958.368,2818.824,9921.896,1713.592,22475.016,-16267.064,10018.376,25578.992,19743.56,29364.76,39337.574
20.0,918008.8,925629.6,1838350.2,18899.896,9520.432,19024.783,5968.36,25893.623,11439.848,3493.112,9693.024,7208.664,21703.176,861.352,2725.024,9845.248,1664.816,22375.855,-16288.504,9933.688,25518.424,19642.256,29266.672,39238.414
24.0,918023.8,925638.75,1838363.8,18991.553,9620.664,19051.584,6010.704,25897.912,11422.696,3489.896,9690.88,7212.416,21704.248,886.544,2756.112,9846.856,1683.576,22395.152,-16284.752,9960.488,25566.664,19672.809,29263.455,39247.527
28.0,918014.7,925635.0,1838363.8,19054.8,9691.416,19092.855,6070.2,25932.752,11433.416,3522.592,9690.344,7260.12,21741.768,964.264,2822.04,9897.776,1696.976,22458.936,-16274.032,10016.768,25611.152,19724.8,29331.527,39309.703
32.0,918011.5,925632.3,1838364.8,19048.367,9681.768,19106.256,6084.672,25949.904,11439.312,3542.96,9695.704,7280.488,21763.207,986.776,2835.976,9918.68,1707.16,22480.912,-16268.136,10037.136,25614.367,19745.703,29359.4,39340.793
36.0,918008.8,925627.5,1838364.8,18995.305,9619.056,19095.0,6062.696,25949.904,11440.384,3546.176,9703.744,7276.736,21763.207,965.872,2822.576,9916.536,1719.488,22472.336,-16267.064,10027.488,25587.568,19747.848,29361.545,39340.793
