Time (milliseconds),Channel 1 Data (μV),Channel 2 Data (μV),Channel 3 Data (μV),Channel 4 Data (μV),Channel 5 Data (μV),Channel 6 Data (μV),Channel 7 Data (μV),Channel 8 Data (μV),Channel 9 Data (μV),Channel 10 Data (μV),Channel 11 Data (μV),Channel 12 Data (μV),Channel 13 Data (μV),Channel 14 Data (μV),Channel 15 Data (μV),Channel 16 Data (μV),Channel 17 Data (μV),Channel 18 Data (μV),Channel 19 Data (μV),Channel 20 Data (μV),Channel 21 Data (μV),Extra Channel extra_1 Data (μV),Extra Channel extra_2 Data (μV),Extra Channel extra_3 Data (μV)
0.0,746811.5,741088.06,1421431.2,18954.568,8070.016,19756.96,5207.776,28076.217,11789.856,4662.128,9844.712,9064.296,22008.695,-1670.176,1682.504,9201.512,3906.368,22500.207,-5333.736,8731.976,25433.736,19714.615,25865.217,36019.734
4.0,746808.25,741086.44,1421433.4,18942.24,8052.864,19765.535,5216.352,28093.904,11799.504,4683.568,9851.68,9087.88,22027.992,-1654.632,1699.12,9217.592,3916.016,22518.432,-5324.624,8745.912,25434.809,19732.305,25894.16,36047.61
8.0,746806.6,741083.25,1421436.1,18870.416,7974.608,19747.848,5183.656,28087.473,11804.328,4681.424,9858.648,9081.448,22021.023,-1699.656,1663.208,9204.728,3921.376,22507.176,-5323.552,8718.576,25397.824,19722.656,25876.473,36039.566
12.0,746815.25,741090.2,1421446.8,18765.896,7872.232,19685.137,5083.424,28021.545,11782.888,4619.784,9849.536,8998.904,21950.271,-1828.296,1551.184,9116.824,3899.936,22403.729,-5344.456,8619.416,25330.287,19627.783,25747.297,35923.793
16.0,746829.7,741105.25,1421465.6,18866.129,7981.576,19708.184,5127.376,28033.871,11781.28,4623.0,9842.568,9014.448,21962.064,-1769.336,1600.496,9133.976,3893.504,22426.775,-5344.992,8657.472,25374.775,19649.76,25779.455,35941.48
20.0,746832.4,741103.06,1421474.6,18946.527,8060.368,19749.455,5204.024,28073.535,11785.032,4658.376,9845.248,9065.368,22004.943,-1686.256,1679.824,9195.08,3921.376,22498.064,-5331.056,8723.4,25424.623,19724.8,25852.889,36019.2
24.0,746823.25,741099.3,1421467.8,18934.736,8047.504,19758.568,5211.528,28092.297,11794.144,4678.744,9852.216,9088.952,22025.312,-1674.464,1693.224,9214.376,3925.128,22522.184,-5321.944,8735.728,25425.16,19741.951,25880.76,36042.246
28.0,746815.75,741095.56,1421462.4,18866.129,7975.144,19740.344,5177.224,28088.008,11804.864,4681.424,9857.576,9082.52,22023.168,-1707.696,1662.136,9203.12,3917.088,22509.855,-5326.232,8713.216,25390.855,19722.12,25878.08,36034.207
32.0,746831.9,741107.9,1421480.0,18761.607,7871.696,19678.703,5077.528,28024.225,11793.072,4620.32,9843.64,8998.904,21949.2,-1817.576,1551.184,9121.112,3879.032,22396.225,-5348.744,8617.808,25324.928,19617.064,25756.408,35923.258
36.0,746839.4,741117.0,1421489.8,18861.84,7979.968,19703.896,5123.088,28034.408,11785.032,4621.392,9838.816,9016.056,21962.064,-1768.264,1591.384,9125.936,3879.032,22421.951,-5346.064,8654.256,25371.56,19643.863,25775.703,35942.55
